company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENSOL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.9x is elevated for a non-financial company and warrants monitoring,85
ADANIENSOL,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ADANIENT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ADANIENT,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.6x is elevated for a non-financial company and warrants monitoring,85
ADANIGREEN,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
AMBUJACEM,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AMBUJACEM,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
AMBUJACEM,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
APOLLOHOSP,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
APOLLOHOSP,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
APOLLOHOSP,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
APOLLOHOSP,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
APOLLOHOSP,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ASIANPAINT,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
ASIANPAINT,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ASIANPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
AXISBANK,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
AXISBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
AXISBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BAJAJ-AUTO,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJ-AUTO,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJ-AUTO,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJFINSV,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95
BAJAJFINSV,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,80
BAJAJFINSV,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
BAJAJFINSV,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJFINSV,con,C2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,90
BAJAJFINSV,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,75
BAJAJFINSV,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
BAJAJHLDNG,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
